Number_1,Number_2,Number_3,Number_4,Number_5,Joker
10,16,17,36,39,1
4,19,20,35,38,10
13,18,21,24,39,12
5,7,11,19,23,20
6,23,24,32,38,18
7,13,16,20,32,1
12,13,21,27,45,19
7,17,20,27,35,4
13,14,21,28,40,10
6,11,33,35,41,15
5,7,17,23,41,10
16,24,31,33,41,17
2,24,30,32,35,1
4,9,20,26,41,9
5,25,26,38,39,5
1,4,19,41,45,8
3,6,23,30,45,6
8,11,26,35,41,17
4,5,25,26,28,15
2,9,19,28,45,1
18,22,24,34,35,1
2,4,8,15,32,3
4,6,29,32,38,20
10,22,24,33,39,14
13,27,35,40,41,10
17,21,37,38,40,11
17,26,27,37,39,3
9,14,24,39,43,10
1,6,9,19,39,9
2,8,9,13,37,18
8,11,21,37,41,13
12,24,29,30,37,4
6,23,27,30,35,16
9,14,19,21,37,15
6,21,28,30,32,8
14,30,39,41,43,8
12,25,32,37,40,3
14,18,28,37,40,7
12,14,16,18,31,10
1,13,15,16,37,10
4,6,10,13,20,17
12,17,18,36,45,16
2,15,26,37,39,7
1,7,14,18,19,8
8,13,26,33,43,15
6,20,30,32,39,15
8,23,29,31,34,6
11,12,22,26,45,17
8,14,25,30,42,10
2,7,21,35,38,1
4,10,16,17,27,13
2,6,20,29,42,5
6,7,9,30,35,18
2,5,20,26,40,20
4,7,29,31,40,2
3,19,22,32,39,14
6,8,18,22,27,14
1,9,20,35,37,14
1,11,14,36,45,10
14,21,29,33,42,10
11,12,30,40,43,13
3,5,11,39,43,9
12,24,27,35,36,14
6,8,21,22,25,19
11,30,32,37,44,1
8,15,17,26,44,5
14,18,19,39,41,11
20,31,38,39,45,2
5,14,34,41,42,18
3,10,40,42,43,2
10,27,28,31,35,11
2,5,11,26,40,12
27,32,33,38,41,2
3,8,36,40,45,6
4,23,38,40,45,19
2,7,11,41,43,1
3,32,35,36,40,12
5,23,30,37,39,13
16,19,30,39,41,13
1,33,34,37,38,13
5,20,25,26,39,19
5,13,16,40,44,3
5,12,15,25,31,3
1,27,28,32,36,16
6,14,26,37,45,14
15,31,32,33,40,16
6,11,20,30,35,13
5,19,30,38,45,9
1,5,10,29,37,20
1,4,13,43,45,13
8,23,29,33,37,1
1,5,30,35,43,6
8,10,29,35,41,3
2,12,14,18,34,2
21,23,25,26,43,10
23,24,27,30,33,18
4,12,30,38,40,10
4,13,18,40,44,14
12,26,34,36,42,8
7,18,23,29,38,14
1,23,27,41,42,1
1,9,15,21,41,1
5,18,33,42,45,1
1,11,18,37,41,16
16,22,37,38,42,6
1,4,9,17,23,11
6,8,13,21,38,19
8,11,15,24,40,10
7,13,15,29,34,13
3,5,6,7,39,11
14,21,22,31,38,3
7,19,30,34,38,6
10,15,29,33,34,20
5,7,14,21,26,20
9,19,23,26,42,17
11,12,16,18,25,14
1,6,11,32,43,1
6,12,24,25,43,9
13,17,32,35,38,14
9,10,27,29,37,7
1,6,27,30,34,12
2,23,33,41,42,3
7,32,33,36,41,9
6,11,12,16,21,11
3,16,17,23,40,9
1,15,23,30,45,1
1,9,15,20,28,6
15,24,25,37,44,8
3,11,22,25,45,19
2,3,14,29,40,8
6,9,17,20,45,17
3,12,18,21,25,4
6,36,38,40,44,8
2,9,12,14,20,20
1,3,5,34,43,1
2,3,5,14,27,15
8,11,18,28,43,10
3,9,17,21,44,4
9,10,14,30,43,16
15,16,17,30,35,4
15,16,22,33,37,20
9,34,36,38,43,4
13,16,21,33,41,8
4,10,23,27,33,10
